Stkcd,Accper,STPT,ROA,PS(TTM),ROE(C),CR,QR,WC/TA,WC/S,EBIT/TA,EBITDA/TA,CF/TA,CF/S,CF/TL,EBIT/S,EBITDA/S,RE/TA,S/TA,QA/S,CL/TA,LTL/TA,TL/TA,I/WC,LTL/CA,lnTA,lnS,FA/TA,E/TA,CL/TL,LongTermRating,RatingDate,Rating,LastYearRating,RatingChange
000002,2012,0,0.0554724160557738,1.079122,0.208875,1.3961773373905135,0.2857060131024692,0.2717521956811035,0.9982924658291518,0.057642157427036,0.058124259450634,0.0098361736704281,0.0361335739833297,0.0125932437992814,0.2117507508240138,0.2135217717230816,0.1153774118425128,0.2722170155370193,0.719925481353668,0.6859357414814375,0.0951317759273278,0.7810675174087653,2.478761317740479,0.0993348378274309,26.660278461911783,25.359122782350585,0.0042562046677103,0.2168369714362411,0.8782028777192876,AAA,2012-04-28,24.0,24.0,0.0
000002,2013,0,0.0506282739315581,0.65316,0.195093,1.3439259480881558,0.2500888927479625,0.2360673962586377,0.8353696860472491,0.0525510153338,0.0529250418551342,0.0040147068398082,0.0142068089261591,0.0051577790834139,0.1859618307170381,0.1872853951848648,0.1186178362341213,0.2825903312049147,0.6074466930457358,0.68639018826846,0.0919887951816967,0.7783789834501567,2.9271509066558483,0.0997214362206748,26.89539499280644,25.631637969777163,0.0044443743818343,0.2200297413864424,0.8818200425017164,AAA,2013-05-22,24.0,24.0,0.0
000002,2014,0,0.0491324325194952,1.048046,0.174285,1.3447136610749262,0.3403582277506625,0.2343619483581226,0.8139441950164006,0.0509298915548788,0.0520095431514397,0.0820694346210616,0.2850289493071452,0.1064943907567405,0.1768806321773853,0.1806302858895913,0.1338915090409448,0.2879336811946921,0.8036600662702095,0.6798742690594505,0.0907713399522809,0.7706456090117314,2.66657100022554,0.0992865281673932,26.95455159762336,25.70952649863058,0.004540346008091,0.227953621343954,0.8822139010579906,AAA,2014-10-10,24.0,24.0,0.0
000002,2015,0,0.054184553353977,1.380681,0.205782,1.3022472904253075,0.3315118480554271,0.2076942083281923,0.6492616406536323,0.0560781972594377,0.0572491631956636,0.0262492017603763,0.0820562110902003,0.0339306608710179,0.1753030219312976,0.178963515264372,0.1319600944047762,0.3198929296348078,0.7121252470508899,0.6871664855487541,0.0864465560645121,0.7736130416132664,2.899452897362813,0.0966033670447475,27.13884642332384,25.999077489254887,0.0080443559888192,0.2229847957777171,0.8882560771154537,AAA,2015-12-30,24.0,24.0,0.0
000002,2016,0,0.0469784400956784,0.943352,0.190279,1.2436160540615877,0.3511587637172861,0.1700991074740569,0.5875688867601765,0.0491717198015131,0.0505544906633096,0.0476313437427868,0.1645317017439908,0.0594520822673474,0.1698525823732784,0.1746290515033947,0.1128493410124089,0.2894964510663156,0.8469473190846625,0.6982261827090221,0.10294581877943,0.8011720014884521,3.307653571461513,0.1185567435882522,27.445503513927846,26.205891273045328,0.0081991145980149,0.1946329482375925,0.8715059705179752,AAA,2016-06-07,24.0,24.0,0.0
000002,2017,0,0.0436032529301478,1.41161,0.213626,1.2008571565977153,0.408858025089349,0.1460486998954205,0.700697517961211,0.0456664094044615,0.0473217431531826,0.0706423408847141,0.3389205994735533,0.0843724825718377,0.2190936293634892,0.2270354203548288,0.0970285506499054,0.2084333056014983,1.4263161354634453,0.7271271901350899,0.1101403493682873,0.8372675395033773,3.5140821753599845,0.1261376437735115,27.78403994214072,26.21590377601477,0.0060915835232771,0.1601874397282257,0.8684526221646944,AAA,2017-07-21,24.0,24.0,0.0
000002,2018,0,0.0441577417857679,0.883342,0.233355,1.154341535325672,0.4178737052892302,0.1132802943944595,0.5816927862107266,0.0480568939600425,0.0499684310736527,0.0219930900192514,0.1129342210758539,0.0260618570750696,0.246771503319979,0.2565872206563873,0.0910113669924421,0.19474247760986,1.574910599411805,0.7339585818906736,0.1099218045262139,0.8438803864168876,4.333054067501132,0.1297412189206724,28.055359894806493,26.41928267394917,0.0075454366182918,0.1541436033396169,0.8697424347152546,AAA,2018-11-01,24.0,24.0,0.0
000002,2019,0,0.0442868557580604,0.988608,0.217825,1.1307384300069765,0.3490263225748605,0.0961767952465928,0.4522474569441007,0.047559876623921,0.0499411966484252,0.0264096374013886,0.1241847508327839,0.0318025798970061,0.2236384899350805,0.2348360550285197,0.0960607329916879,0.212664093008887,1.2073440592992364,0.7356428805322252,0.0947814902866592,0.8304243708188844,5.391417518356173,0.1139447563534933,28.17910174349181,26.63106035727404,0.0071678288755671,0.1564104913932781,0.8858637901086707,AAA,2019-08-21,24.0,24.0,0.0
000002,2020,0,0.0427774566467283,0.795561,0.191154,1.1744938505595248,0.3666635521693031,0.1229922906193217,0.5485277184801398,0.045378715548987,0.0479792000597636,0.028455314595061,0.1269065623127066,0.0356224093285721,0.2023824678953877,0.2139802503942461,0.1047964353741049,0.2242225624624926,1.1526201128368248,0.7048517195588253,0.093952042775059,0.7988037623338843,4.358797467919579,0.1134900314792893,28.256519393260163,26.76140325527861,0.0067288127928089,0.1871649692611636,0.8823840757828217,AAA,2020-11-03,24.0,24.0,0.0
000002,2021,0,0.0270968554985044,0.507329,0.102528,1.2202315131774044,0.3487911606991686,0.1489818216600244,0.637860556199786,0.0291990827058919,0.0320268431526436,0.0021216754624341,0.0090838806739251,0.0026655198755648,0.1250148704571875,0.1371218297577716,0.105169170898076,0.2335648759152329,1.0102102126589163,0.6764782183556732,0.119492384558881,0.7959706029145542,3.724154090326488,0.1447585331406335,28.29300684697362,26.83871144768845,0.0066134363009684,0.2026024200755091,0.8498783948535995,AAA,2021-08-11,24.0,24.0,0.0
